Date,Open,High,Low,Close,Adj Close,Volume
2019-12-29,306.540009,306.570007,293.679993,296.880005,288.606018,3935000
2020-01-05,295.750000,309.100006,294.609985,307.739990,299.163300,7179500
2020-01-12,306.880005,307.000000,294.820007,305.390015,296.878876,6242000
2020-01-19,303.940002,308.230011,295.420013,297.279999,288.994843,4168400
2020-01-26,293.630005,293.809998,261.690002,265.279999,257.886658,13781300
2020-02-02,266.109985,293.179993,262.790009,276.480011,268.774628,9145500
2020-02-09,275.880005,300.859985,273.779999,297.820007,289.519806,9054700
2020-02-16,297.450012,304.519989,290.170013,294.709991,286.496490,6311700
2020-02-23,283.489990,283.500000,249.350006,257.089996,249.924957,11519500
2020-03-01,259.600006,297.519989,250.380005,282.190002,274.325378,17780600
2020-03-08,264.000000,289.160004,251.050003,270.339996,262.805664,14867500
2020-03-15,226.500000,247.979996,185.690002,191.589996,186.943573,17668100
2020-03-22,188.539993,238.789993,171.029999,222.960007,217.552826,15179100
2020-03-29,224.660004,235.830002,199.169998,203.300003,198.369598,11680700
2020-04-05,215.509995,248.830002,212.179993,242.460007,236.579895,9705000
2020-04-12,240.779999,279.899994,237.649994,267.820007,261.324890,10278800
2020-04-19,262.480011,273.209991,249.300003,264.119995,257.714600,7367900
2020-04-26,267.559998,285.980011,262.000000,269.570007,263.032440,9004400
2020-05-03,268.000000,278.820007,265.010010,274.329987,267.676971,5299800
2020-05-10,270.940002,280.779999,262.239990,278.089996,271.345795,6655400
2020-05-17,284.970001,287.769989,275.579987,277.109985,270.389526,5433900
2020-05-24,283.769989,296.690002,277.570007,294.109985,286.977234,5758500
2020-05-31,293.230011,299.320007,279.540009,287.890015,280.908142,7321000
2020-06-07,286.350006,301.660004,259.299988,265.739990,259.295288,7962200
2020-06-14,257.829987,273.179993,250.880005,266.429993,260.792786,7593500
2020-06-21,265.000000,270.609985,253.270004,255.649994,250.240875,6852300
2020-06-28,258.149994,273.929993,256.739990,267.000000,261.350739,4679500
2020-07-05,271.369995,271.630005,253.750000,255.000000,249.604645,5080400
2020-07-12,256.390015,269.220001,256.010010,266.369995,260.734070,6804200
2020-07-19,266.119995,273.709991,258.839996,270.489990,264.766876,5981600
2020-07-26,269.000000,285.309998,263.269989,273.799988,268.006866,6899700
2020-08-02,275.220001,278.179993,267.720001,276.660004,270.806366,5174200
2020-08-09,277.089996,288.000000,276.239990,283.230011,277.237335,4244000
2020-08-16,283.510010,286.299988,280.549988,284.630005,278.607727,4181700
2020-08-23,286.769989,287.000000,266.799988,277.279999,271.413239,4946600
2020-08-30,276.209991,284.369995,270.500000,276.220001,270.375702,6738100
2020-09-06,275.000000,275.269989,254.479996,258.029999,252.570526,4647700
2020-09-13,258.989990,269.200012,258.519989,264.190002,259.522827,6678400
2020-09-20,257.239990,258.619995,244.100006,255.250000,250.740814,7848300
2020-09-27,258.829987,280.480011,255.779999,275.010010,270.151733,5589200
2020-10-04,276.980011,298.450012,276.679993,294.410004,289.209015,4835400
2020-10-11,295.429993,300.920013,287.170013,296.869995,291.625519,4476200
2020-10-18,296.000000,311.750000,290.209991,310.760010,305.270203,5333900
2020-10-25,307.609985,308.250000,269.010010,272.799988,267.980804,7600000
2020-11-01,278.190002,334.100006,270.440002,313.320007,307.784973,11911300
2020-11-08,334.980011,337.679993,314.429993,332.959991,327.077972,7820700
2020-11-15,335.920013,338.200012,304.670013,305.619995,300.220917,7656300
2020-11-22,307.700012,317.880005,306.660004,312.799988,307.274109,4186500
2020-11-29,311.790009,326.899994,309.339996,323.269989,317.559174,6328000
2020-12-06,321.519989,324.200012,310.160004,311.399994,306.801117,5948400
2020-12-13,314.140015,316.220001,306.399994,308.640015,304.081940,7400200
2020-12-20,303.339996,311.670013,298.600006,308.670013,304.111511,3160100
2020-12-27,310.630005,322.190002,309.459991,321.089996,316.348022,2813300
2021-01-03,321.109985,340.670013,308.000000,337.079987,332.101898,6858000
2021-01-10,335.450012,340.980011,319.380005,326.420013,321.599304,5247500
2021-01-17,330.000000,330.869995,313.959991,314.089996,309.451416,4076100
2021-01-24,313.470001,318.299988,288.010010,296.980011,292.594116,8557100
2021-01-31,298.970001,306.250000,288.200012,290.850006,286.554626,7605600
2021-02-07,292.079987,302.420013,286.040009,290.679993,286.387146,6786400
2021-02-14,293.399994,298.450012,288.320007,294.970001,290.613800,4579900
2021-02-21,292.779999,313.850006,290.859985,303.190002,298.712402,7410000
2021-02-28,307.660004,335.779999,306.359985,333.600006,328.673248,7628400
2021-03-07,334.500000,344.170013,329.750000,341.720001,336.673370,6022200
2021-03-14,343.140015,359.140015,336.489990,354.130005,350.064941,8640200
2021-03-21,352.839996,372.250000,345.339996,371.309998,367.047729,7929700
2021-03-28,369.970001,379.130005,351.880005,353.760010,349.699188,5462200
2021-04-04,356.450012,361.329987,349.049988,361.010010,356.865997,4201000
2021-04-11,360.160004,376.540009,357.750000,375.619995,371.308258,4390000
2021-04-18,375.450012,386.779999,374.470001,381.950012,377.565582,7165700
2021-04-25,382.089996,383.250000,372.899994,379.390015,375.035004,4314400
2021-05-02,383.429993,397.679993,382.079987,396.570007,392.017792,5566600
2021-05-09,397.820007,406.000000,388.839996,393.929993,389.408081,4890900
2021-05-16,394.260010,400.040009,389.140015,396.079987,391.533356,3959000
2021-05-23,398.019989,399.730011,390.239990,398.220001,393.648834,5822900
2021-05-30,398.959991,399.440002,390.730011,393.200012,388.686462,3498800
2021-06-06,394.750000,396.170013,380.880005,383.869995,379.463593,4809100
2021-06-13,382.529999,387.489990,368.339996,369.209991,366.027222,6031500
2021-06-20,370.100006,382.859985,369.739990,380.820007,377.537140,5912000
2021-06-27,381.140015,387.440002,376.049988,387.200012,383.862152,5904600
2021-07-04,385.299988,390.329987,379.640015,388.609985,385.260010,4039600
2021-07-11,387.010010,402.230011,384.500000,393.589996,390.197052,6265700
2021-07-18,390.420013,398.489990,380.369995,382.290009,378.994476,6401400
2021-07-25,381.519989,386.390015,373.670013,384.010010,380.699646,4384000
2021-08-01,385.339996,397.950012,374.700012,379.450012,376.178986,4731800
2021-08-08,379.390015,381.929993,363.940002,367.489990,364.322052,5877400
2021-08-15,367.230011,381.000000,365.329987,377.989990,374.731537,3815500
2021-08-22,379.329987,379.329987,368.649994,372.670013,369.457428,3362500
2021-08-29,373.500000,383.220001,365.049988,378.730011,375.465210,6062300
2021-09-05,379.700012,379.829987,355.429993,357.510010,354.428101,4401700
2021-09-12,360.119995,381.489990,358.390015,379.519989,377.397980,6920500
2021-09-19,375.730011,382.859985,373.220001,381.329987,379.197845,4474100
2021-09-26,379.820007,391.429993,363.369995,375.929993,373.828064,6159500
2021-10-03,374.989990,386.299988,363.679993,386.170013,384.010803,5012100
2021-10-10,387.059998,399.160004,370.000000,393.049988,390.852325,5813100
2021-10-17,391.640015,435.959991,387.299988,433.339996,430.917053,7141100
2021-10-24,433.359985,439.899994,429.049988,435.130005,432.697052,4797800
2021-10-31,436.309998,439.200012,413.260010,422.059998,419.700104,5323500
2021-11-07,423.089996,437.880005,421.149994,437.010010,434.566559,4172100
2021-11-14,436.440002,438.170013,414.029999,415.209991,412.888397,6400700
2021-11-21,419.480011,425.989990,411.350006,415.519989,413.196686,3421900
2021-11-28,418.359985,419.250000,392.399994,395.000000,392.791443,7946700
2021-12-05,400.950012,431.540009,399.070007,431.000000,429.790344,5687600
2021-12-12,430.329987,451.709991,425.559998,445.100006,443.850800,5829900
2021-12-19,447.820007,458.809998,431.880005,455.709991,454.431000,3156300
2021-12-26,458.119995,470.019989,455.839996,463.540009,462.239044,2750500
2022-01-02,461.799988,467.000000,426.279999,434.989990,433.769135,5838200
2022-01-09,434.209991,454.989990,430.790009,452.140015,450.871033,4348500
2022-01-16,447.880005,461.540009,440.269989,441.559998,440.320709,4628600
2022-01-23,439.269989,452.519989,420.730011,442.089996,440.849213,8712800
2022-01-30,null,null,null,null,null,null
